Categoria,Puntos,Pregunta_ES,Correcta_ES,Opcion1_ES,Opcion2_ES,Opcion3_ES,Opcion4_ES,Referencia_ES,Pregunta_EN,Correcta_EN,Option1_EN,Option2_EN,Option3_EN,Option4_EN,Reference_EN,Pergunta_PT,Correta_PT,Opcao1_PT,Opcao2_PT,Opcao3_PT,Opcao4_PT,Referencia_PT
Éxodo,100,¿Cuál era la ocupación de Moisés cuando vio la zarza ardiente?,Pastor de ovejas,Pastor de ovejas,Carpintero,Soldado,Pescador,Éxodo 3:1,What was Moses doing when he saw the burning bush?,Shepherding sheep,Shepherding sheep,Carpentry,Soldiering,Fishing,Exodus 3:1,O que Moisés fazia quando viu a sarça ardente?,Pastoreava ovelhas,Pastoreava ovelhas,Carpintaria,Soldado,Pescar,Êxodo 3:1
Éxodo,100,¿Qué estaba escrito en las tablas que Moisés recibió?,Los Diez Mandamientos,Los Diez Mandamientos,Las genealogías,Los Salmos,Las parábolas,Éxodo 31:18,What was written on the tablets Moses received?,The Ten Commandments,The Ten Commandments,Genealogies,Psalms,Parables,Exodus 31:18,O que estava escrito nas tábuas que Moisés recebeu?,Os Dez Mandamentos,Os Dez Mandamentos,Genealogias,Salmos,Parábolas,Êxodo 31:18
Éxodo,100,¿Quién fue el suegro de Moisés?,Jetro,Jetro,Labán,Esaú,Caleb,Éxodo 18:1,Who was Moses' father-in-law?,Jethro,Jethro,Laban,Esau,Caleb,Exodus 18:1,Quem foi o sogro de Moisés?,Jetro,Jetro,Labão,Esaú,Calebe,Êxodo 18:1
Éxodo,100,¿Qué plaga cubrió a Egipto con oscuridad?,La novena plaga,La novena plaga,La tercera plaga,La primera plaga,La décima plaga,Éxodo 10:22,Which plague covered Egypt with darkness?,The ninth plague,The ninth plague,The third plague,The first plague,The tenth plague,Exodus 10:22,Qual praga cobriu o Egito com trevas?,A nona praga,A nona praga,A terceira praga,A primeira praga,A décima praga,Êxodo 10:22
Éxodo,100,¿Qué material se usó para cubrir el arca del pacto?,Oro,Oro,Plata,Bronce,Hierro,Éxodo 25:11,What material covered the ark of the covenant?,Gold,Gold,Silver,Bronze,Iron,Exodus 25:11,Que material cobria a arca da aliança?,Ouro,Ouro,Prata,Bronze,Ferro,Êxodo 25:11
Éxodo,100,¿Qué ordenó Dios colocar en la puerta para la Pascua?,Sangre del cordero,Sangre del cordero,Agua del Nilo,Aceite,Ceniza,Éxodo 12:13,What did God command to put on the door for Passover?,Lamb's blood,Lamb's blood,Nile water,Oil,Ash,Exodus 12:13,O que Deus ordenou colocar na porta na Páscoa?,Sangue do cordeiro,Sangue do cordeiro,Água do Nilo,Óleo,Cinza,Êxodo 12:13
Éxodo,100,¿Qué celebraban los israelitas cada año para recordar la salida de Egipto?,La Pascua,La Pascua,Pentecostés,La Fiesta de las Trompetas,Hanukkah,Éxodo 12:14,What did Israelites celebrate yearly to remember the exodus from Egypt?,Passover,Passover,Pentecost,Feast of Trumpets,Hanukkah,Exodus 12:14,O que os israelitas celebravam anualmente para lembrar a saída do Egito?,A Páscoa,A Páscoa,Pentecostes,Festa das Trombetas,Hanucá,Êxodo 12:14
Éxodo,100,¿Qué se llamaba el pan del cielo que Dios dio en el desierto?,Maná,Maná,Cebada,Trigo,Miel,Éxodo 16:15,What was the bread from heaven God gave in the wilderness called?,Manna,Manna,Barley,Wheat,Honey,Exodus 16:15,Como se chamava o pão do céu que Deus deu no deserto?,Maná,Maná,Cevada,Trigo,Mel,Êxodo 16:15
Éxodo,100,¿Qué objeto de oro hicieron los israelitas mientras Moisés estaba en el monte?,El becerro de oro,El becerro de oro,El arca del pacto,El candelabro,La mesa de los panes,Éxodo 32:4,What golden object did the Israelites make while Moses was on the mountain?,The golden calf,The golden calf,The ark of the covenant,The lampstand,The table of bread,Exodus 32:4,Que objeto de ouro os israelitas fizeram enquanto Moisés estava no monte?,O bezerro de ouro,O bezerro de ouro,A arca da aliança,O candelabro,A mesa dos pães,Êxodo 32:4
Éxodo,100,¿Qué nombre recibió el lugar donde Israel tentó a Dios por falta de agua?,Masah y Meribah,Masah y Meribah,Betel,Siloé,Cana,Éxodo 17:7,What was the place called where Israel tested God for lack of water?,Massah and Meribah,Massah and Meribah,Bethel,Siloam,Cana,Exodus 17:7,Como foi chamado o lugar onde Israel tentou a Deus por falta de água?,Massá e Meribá,Massá e Meribá,Betel,Siloé,Caná,Êxodo 17:7
