Categoria,Puntos,Pregunta_ES,Correcta_ES,Opcion1_ES,Opcion2_ES,Opcion3_ES,Opcion4_ES,Referencia_ES,Pregunta_EN,Correcta_EN,Option1_EN,Option2_EN,Option3_EN,Option4_EN,Reference_EN,Pergunta_PT,Correta_PT,Opcao1_PT,Opcao2_PT,Opcao3_PT,Opcao4_PT,Referencia_PT
Milagros de Jesús,100,¿En qué boda convirtió Jesús el agua en vino?,Caná de Galilea,Caná de Galilea,Belén,Nazaret,Jericó,Juan 2:1-11,At which wedding did Jesus turn water into wine?,Cana of Galilee,Cana of Galilee,Bethlehem,Nazareth,Jericho,John 2:1-11,Em que casamento Jesus transformou água em vinho?,Caná da Galileia,Caná da Galileia,Belém,Nazaré,Jericó,João 2:1-11
Milagros de Jesús,100,¿A cuántos hombres alimentó Jesús con cinco panes y dos peces?,Cinco mil,Cinco mil,Cuatro mil,Tres mil,Siete mil,Mateo 14:21,How many men did Jesus feed with five loaves and two fish?,Five thousand,Five thousand,Four thousand,Three thousand,Seven thousand,Matthew 14:21,A quantos homens Jesus alimentou com cinco pães e dois peixes?,Cinco mil,Cinco mil,Quatro mil,Três mil,Sete mil,Mateus 14:21
Milagros de Jesús,100,¿Cuántos leprosos volvieron para dar gracias después de ser sanados?,Uno,Uno,Dos,Cinco,Ninguno,Lucas 17:15-16,How many lepers returned to give thanks after being healed?,One,One,Two,Five,None,Luke 17:15-16,Quantos leprosos voltaram para agradecer após serem curados?,Um,Um,Dois,Cinco,Nenhum,Lucas 17:15-16
Milagros de Jesús,100,¿En qué mar caminó Jesús sobre las aguas?,Mar de Galilea,Mar de Galilea,Mar Rojo,Mar Muerto,Mar Mediterráneo,Marcos 6:48-49,On which sea did Jesus walk on the water?,Sea of Galilee,Sea of Galilee,Red Sea,Dead Sea,Mediterranean Sea,Mark 6:48-49,Em que mar Jesus andou sobre as águas?,Mar da Galileia,Mar da Galileia,Mar Vermelho,Mar Morto,Mar Mediterrâneo,Marcos 6:48-49
Milagros de Jesús,100,¿A quién resucitó Jesús en Naín?,Al hijo de una viuda,Al hijo de una viuda,Lázaro,La hija de Jairo,Dorcas,Lucas 7:14-15,Whom did Jesus raise in Nain?,A widow’s son,A widow’s son,Lazarus,Jairus’ daughter,Dorcas,Luke 7:14-15,Quem Jesus ressuscitou em Naim?,O filho de uma viúva,O filho de uma viúva,Lázaro,A filha de Jairo,Dorcas,Lucas 7:14-15
Milagros de Jesús,100,¿Qué condición tenía el hombre sanado en Betesda?,Era inválido,Era inválido,Era ciego,Era sordo,Tenía lepra,Juan 5:5-9,What condition did the man healed at Bethesda have?,He was an invalid,He was an invalid,He was blind,He was deaf,He had leprosy,John 5:5-9,Que condição tinha o homem curado em Betesda?,Era inválido,Era inválido,Era cego,Era surdo,Tinha lepra,João 5:5-9
Milagros de Jesús,100,¿Con qué hizo Jesús lodo para sanar al ciego de nacimiento?,Con su saliva,Con su saliva,Con aceite,Con agua del Jordán,Con vino,Juan 9:6-7,What did Jesus use to make mud to heal the man born blind?,His saliva,His saliva,Oil,Jordan water,Wine,John 9:6-7,Com o que Jesus fez lodo para curar o cego de nascença?,Com sua saliva,Com sua saliva,Com óleo,Com água do Jordão,Com vinho,João 9:6-7
Milagros de Jesús,100,¿A quién liberó Jesús de una legión de demonios?,Al endemoniado gadareno,Al endemoniado gadareno,Nicodemo,Zaqueo,Judas,Marcos 5:1-15,Whom did Jesus free from a legion of demons?,The Gerasene demoniac,The Gerasene demoniac,Nicodemus,Zacchaeus,Judas,Mark 5:1-15,Quem Jesus libertou de uma legião de demônios?,O endemoninhado gadareno,O endemoninhado gadareno,Nicodemos,Zaqueu,Judas,Marcos 5:1-15
Milagros de Jesús,100,¿Qué calmó Jesús con una orden?,La tempestad,La tempestad,La sequía,Un incendio,Un terremoto,Mateo 8:26,What did Jesus calm with a command?,The storm,The storm,A drought,A fire,An earthquake,Matthew 8:26,O que Jesus acalmou com uma ordem?,A tempestade,A tempestade,A seca,Um incêndio,Um terremoto,Mateus 8:26
Milagros de Jesús,100,¿Qué le ocurrió a la higuera que Jesús maldijo?,Se secó,Se secó,Floreció,Se volvió más grande,Dio uvas,Marcos 11:20-21,What happened to the fig tree Jesus cursed?,It withered,It withered,It bloomed,It grew bigger,It produced grapes,Mark 11:20-21,O que aconteceu com a figueira que Jesus amaldiçoou?,Secou,Secou,Floresceu,Ficou maior,Deu uvas,Marcos 11:20-21
Mujeres de la Biblia,100,¿Quién fue la madre de Samuel?,Ana,Ana,Ester,Rut,Elisabet,1 Samuel 1:20,Who was Samuel’s mother?,Hannah,Hannah,Esther,Ruth,Elizabeth,1 Samuel 1:20,Quem foi a mãe de Samuel?,Ana,Ana,Ester,Rute,Isabel,1 Samuel 1:20
Mujeres de la Biblia,100,¿Qué mujer juzgó a Israel bajo una palmera?,Débora,Débora,Jael,Miriam,Abigail,Jueces 4:4-5,Which woman judged Israel under a palm tree?,Deborah,Deborah,Jael,Miriam,Abigail,Judges 4:4-5,Que mulher julgava Israel debaixo de uma palmeira?,Débora,Débora,Jael,Miriã,Abigail,Juízes 4:4-5
Mujeres de la Biblia,100,¿Quién fue la suegra de Rut?,Noemí,Noemí,Sara,Rebeca,Lea,Rut 1:16,Who was Ruth’s mother-in-law?,Naomi,Naomi,Sarah,Rebekah,Leah,Ruth 1:16,Quem foi a sogra de Rute?,Noemi,Noemi,Sara,Rebeca,Lia,Rute 1:16
Mujeres de la Biblia,100,¿Qué reina visitó a Salomón para probar su sabiduría?,La reina de Sabá,La reina de Sabá,La reina Ester,La reina Atalía,La reina Jezabel,1 Reyes 10:1,Which queen visited Solomon to test his wisdom?,The Queen of Sheba,The Queen of Sheba,Queen Esther,Queen Athaliah,Queen Jezebel,1 Kings 10:1,Que rainha visitou Salomão para provar sua sabedoria?,A rainha de Sabá,A rainha de Sabá,A rainha Ester,A rainha Atalia,A rainha Jezabel,1 Reis 10:1
Mujeres de la Biblia,100,¿Cómo se llamaba la madre de Juan el Bautista?,Elisabet,Elisabet,María,Marta,Lidia,Lucas 1:13,What was the name of John the Baptist’s mother?,Elizabeth,Elizabeth,Mary,Martha,Lydia,Luke 1:13,Como se chamava a mãe de João Batista?,Isabel,Isabel,Maria,Marta,Lídia,Lucas 1:13
